n,p,device,device_model,repetition,random_state,timestamp,computation_time,motifs
500,0.15000000000000002,/CPU:0,,3,71070,2022-05-29 19:49:33.729466,0.235,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,,4,71070,2022-05-29 19:43:02.852181,0.225,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.2,/GPU:0,Tesla T4,0,71070,2022-05-29 20:09:56.129060,0.05,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,1,71070,2022-05-29 20:31:04.855306,0.122,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,2,71070,2022-05-29 20:30:55.208973,0.05,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,3,71070,2022-05-29 19:54:37.947473,0.049,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,4,71070,2022-05-29 19:42:06.190268,0.124,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,0,71070,2022-05-29 19:50:54.064607,0.214,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,1,71070,2022-05-29 20:13:17.637556,0.219,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,2,71070,2022-05-29 20:04:39.182605,0.226,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,3,71070,2022-05-29 20:42:59.931452,0.22,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,4,71070,2022-05-29 20:22:07.693123,0.223,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.25,/GPU:0,Tesla T4,0,71070,2022-05-29 20:10:43.394411,0.124,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,1,71070,2022-05-29 20:10:51.010328,0.047,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,2,71070,2022-05-29 20:32:56.852150,0.049,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,3,71070,2022-05-29 20:21:30.407855,0.048,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,4,71070,2022-05-29 20:39:50.094202,0.124,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,0,71070,2022-05-29 19:56:16.982243,0.251,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,1,71070,2022-05-29 20:28:27.417772,0.249,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,2,71070,2022-05-29 19:48:51.582834,0.218,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,3,71070,2022-05-29 20:24:01.831124,0.227,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,4,71070,2022-05-29 19:50:54.286611,0.231,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.30000000000000004,/GPU:0,Tesla T4,0,71070,2022-05-29 20:22:06.925351,0.049,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,1,71070,2022-05-29 19:34:23.402167,0.123,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,2,71070,2022-05-29 20:04:02.363549,0.122,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,3,71070,2022-05-29 19:55:30.264571,0.049,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,4,71070,2022-05-29 20:07:55.013260,0.049,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,0,71070,2022-05-29 20:32:36.488618,0.223,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,1,71070,2022-05-29 20:19:48.494015,0.229,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,2,71070,2022-05-29 20:42:44.928293,0.215,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,3,71070,2022-05-29 20:10:25.825496,0.219,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,4,71070,2022-05-29 20:33:42.492361,0.225,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.35000000000000003,/GPU:0,Tesla T4,0,71070,2022-05-29 19:51:01.911978,0.047,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,Tesla T4,1,71070,2022-05-29 20:10:50.954556,0.051,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,Tesla T4,2,71070,2022-05-29 20:06:15.645936,0.048,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,Tesla T4,3,71070,2022-05-29 20:04:03.977625,0.051,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,Tesla T4,4,71070,2022-05-29 19:49:40.554322,0.122,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,,0,71070,2022-05-29 20:23:34.510453,0.218,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,,1,71070,2022-05-29 19:37:47.921325,0.248,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,,2,71070,2022-05-29 20:21:47.527003,0.22,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,,3,71070,2022-05-29 20:04:41.651168,0.219,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,,4,71070,2022-05-29 20:23:34.738272,0.232,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.4,/GPU:0,Tesla T4,0,71070,2022-05-29 20:39:50.227696,0.082,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,Tesla T4,1,71070,2022-05-29 20:32:55.592097,0.123,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,Tesla T4,2,71070,2022-05-29 20:17:35.222047,0.123,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,Tesla T4,3,71070,2022-05-29 20:29:41.440251,0.047,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/GPU:0,Tesla T4,4,71070,2022-05-29 20:04:45.827765,0.048,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,,0,71070,2022-05-29 20:41:44.682001,0.298,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,,1,71070,2022-05-29 19:46:20.065220,0.216,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,,2,71070,2022-05-29 20:41:45.007588,0.405,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,,3,71070,2022-05-29 19:38:04.388653,0.226,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
500,0.4,/CPU:0,,4,71070,2022-05-29 19:49:17.709350,0.229,"[ 980734 3895520 1296043 2575199 1290001 1286659 1703665 1716417 1717511
  568350  570597 1134798  567730  566597  754593   84086]"
1000,0.05,/GPU:0,Tesla T4,0,71070,2022-05-29 19:50:09.721146,0.336,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,Tesla T4,1,71070,2022-05-29 19:57:14.326180,0.336,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,Tesla T4,2,71070,2022-05-29 19:51:29.935938,0.336,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,Tesla T4,3,71070,2022-05-29 19:53:50.442765,0.334,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/GPU:0,Tesla T4,4,71070,2022-05-29 19:53:50.089031,0.334,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,,0,71070,2022-05-29 20:42:45.159729,1.704,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,,1,71070,2022-05-29 20:29:52.613851,1.752,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,,2,71070,2022-05-29 20:12:50.293643,1.747,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,,3,71070,2022-05-29 19:59:27.601213,2.1,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.05,/CPU:0,,4,71070,2022-05-29 20:20:33.688257,1.687,"[122228209  38513069   1013949   2021008   1011374   1010214    106313
    106651    106471     35410      2821      5619      2748      2865
       276         3]"
1000,0.1,/GPU:0,Tesla T4,0,71070,2022-05-29 19:36:11.917041,0.513,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,Tesla T4,1,71070,2022-05-29 19:51:01.978170,0.336,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,Tesla T4,2,71070,2022-05-29 19:50:51.090907,0.503,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,Tesla T4,3,71070,2022-05-29 19:37:02.407169,0.427,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/GPU:0,Tesla T4,4,71070,2022-05-29 20:15:32.981689,0.502,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,,0,71070,2022-05-29 19:43:32.554980,1.829,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,,1,71070,2022-05-29 19:50:10.076345,1.703,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,,2,71070,2022-05-29 20:31:00.883682,1.695,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
1000,0.1,/CPU:0,,3,71070,2022-05-29 20:22:53.547955,1.672,"[88471134 58832724  3229796  6516806  3258766  3258326   722166   714811
   715769   240388    39376    79474    39061    39464     8794      145]"
