n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.05,GPU,0,71070,2025-08-24 13:15:03.479330,gpu,0.007,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,1,71070,2025-08-24 13:14:25.880047,gpu,0.012,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,2,71070,2025-08-24 13:15:06.904806,gpu,0.007,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,3,71070,2025-08-24 13:15:25.681058,gpu,0.013,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,4,71070,2025-08-24 13:15:07.158389,gpu,0.006,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,0,71070,2025-08-24 13:14:02.513195,matmul,0.009,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,1,71070,2025-08-24 13:13:45.637945,matmul,0.007,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,2,71070,2025-08-24 13:13:45.616331,matmul,0.019,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,3,71070,2025-08-24 13:13:27.174764,matmul,0.008,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,4,71070,2025-08-24 13:13:42.206745,matmul,0.008,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.1,GPU,0,71070,2025-08-24 13:14:43.301891,gpu,0.016,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,1,71070,2025-08-24 13:13:27.795727,gpu,0.012,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,2,71070,2025-08-24 13:13:50.024367,gpu,0.006,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,3,71070,2025-08-24 13:13:20.996213,gpu,0.006,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,4,71070,2025-08-24 13:15:17.532760,gpu,0.017,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,CPU,0,71070,2025-08-24 13:14:25.508595,matmul,0.009,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,CPU,1,71070,2025-08-24 13:13:46.411195,matmul,0.008,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,CPU,2,71070,2025-08-24 13:13:12.676444,matmul,0.007,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
