n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.15000000000000002,CPU,3,71070,2025-08-21 18:02:56.174264,matmul,0.009,[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210   84402   23457   45916   22730   22681    8076     261],Apple M3 Max
500,0.15000000000000002,CPU,4,71070,2025-08-21 18:04:00.738102,matmul,0.01,[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210   84402   23457   45916   22730   22681    8076     261],Apple M3 Max
500,0.2,GPU,0,71070,2025-08-21 18:02:40.556389,gpu,0.019,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,GPU,1,71070,2025-08-21 18:02:42.936575,gpu,0.012,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,GPU,2,71070,2025-08-21 18:03:34.213382,gpu,0.007,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,GPU,3,71070,2025-08-21 18:01:36.976186,gpu,0.019,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,GPU,4,71070,2025-08-21 18:02:34.763418,gpu,0.006,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,CPU,0,71070,2025-08-21 18:03:46.545797,matmul,0.01,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,CPU,1,71070,2025-08-21 18:01:56.824861,matmul,0.007,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,CPU,2,71070,2025-08-21 18:03:09.775087,matmul,0.008,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,CPU,3,71070,2025-08-21 18:02:34.741840,matmul,0.009,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.2,CPU,4,71070,2025-08-21 18:01:33.033193,matmul,0.007,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Apple M3 Max
500,0.25,GPU,0,71070,2025-08-21 18:01:36.097718,gpu,0.033,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,GPU,1,71070,2025-08-21 18:03:12.793113,gpu,0.006,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,GPU,2,71070,2025-08-21 18:02:34.350090,gpu,0.025,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,GPU,3,71070,2025-08-21 18:03:46.193603,gpu,0.006,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,GPU,4,71070,2025-08-21 18:03:41.377223,gpu,0.016,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,CPU,0,71070,2025-08-21 18:03:23.275212,matmul,0.009,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,CPU,1,71070,2025-08-21 18:01:47.785136,matmul,0.008,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,CPU,2,71070,2025-08-21 18:02:22.017313,matmul,0.014,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,CPU,3,71070,2025-08-21 18:03:26.207051,matmul,0.01,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.25,CPU,4,71070,2025-08-21 18:01:42.295230,matmul,0.008,[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219  268413  136101  269517  135578  135028   90276    5095],Apple M3 Max
500,0.30000000000000004,GPU,0,71070,2025-08-21 18:03:41.396481,gpu,0.012,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,GPU,1,71070,2025-08-21 18:03:34.385945,gpu,0.006,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,GPU,2,71070,2025-08-21 18:02:56.165084,gpu,0.007,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
500,0.30000000000000004,GPU,3,71070,2025-08-21 18:03:06.786922,gpu,0.006,[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930  379281  245844  487487  243976  242929  209354   14981],Apple M3 Max
