n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.15000000000000002,CPU,1,71070,2025-08-21 14:31:49.842215,matmul,0.063,[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210   84402   23457   45916   22730   22681    8076     261],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.15000000000000002,CPU,2,71070,2025-08-21 14:31:16.784608,matmul,0.105,[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210   84402   23457   45916   22730   22681    8076     261],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.15000000000000002,CPU,3,71070,2025-08-21 14:17:52.537598,matmul,0.068,[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210   84402   23457   45916   22730   22681    8076     261],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.15000000000000002,CPU,4,71070,2025-08-21 14:23:32.846281,matmul,0.076,[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210   84402   23457   45916   22730   22681    8076     261],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.2,GPU,0,71070,2025-08-21 14:18:36.167982,gpu,0.006,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Tesla T4
500,0.2,GPU,1,71070,2025-08-21 14:26:23.779675,gpu,0.004,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Tesla T4
500,0.2,GPU,2,71070,2025-08-21 14:35:15.531849,gpu,0.006,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Tesla T4
500,0.2,GPU,3,71070,2025-08-21 14:24:55.200648,gpu,0.004,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Tesla T4
500,0.2,GPU,4,71070,2025-08-21 14:24:55.107000,gpu,0.003,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Tesla T4
500,0.2,CPU,0,71070,2025-08-21 14:32:34.422203,matmul,0.106,[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352  167427   64844  127751   64442   63548   32483    1387],Intel(R) Xeon(R) CPU @ 2.00GHz
