n,p,device,repetition,random_state,timestamp,computation_time,motifs
500,0.2,/GPU:0,0,71070,2022-05-08 11:29:52.644241,0.015,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,1,71070,2022-05-08 11:57:27.708241,0.021,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,2,71070,2022-05-08 11:56:17.614650,0.025,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,3,71070,2022-05-08 12:20:14.500596,0.024,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,4,71070,2022-05-08 11:24:09.843000,0.017,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,0,71070,2022-05-08 11:25:56.128376,0.29,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,1,71070,2022-05-08 11:35:12.864349,0.289,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,2,71070,2022-05-08 11:33:02.398540,0.281,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,3,71070,2022-05-08 11:41:59.666109,0.292,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,4,71070,2022-05-08 11:37:29.532469,0.284,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.25,/GPU:0,0,71070,2022-05-08 11:33:45.078961,0.015,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,1,71070,2022-05-08 11:19:13.768097,0.019,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,2,71070,2022-05-08 12:01:21.456653,0.026,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,3,71070,2022-05-08 11:21:26.896091,0.021,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,4,71070,2022-05-08 12:16:56.049111,0.019,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,0,71070,2022-05-08 12:00:05.573859,0.27,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,1,71070,2022-05-08 11:24:09.864828,0.287,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,2,71070,2022-05-08 11:42:02.124222,0.29,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,3,71070,2022-05-08 11:42:02.428105,0.291,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,4,71070,2022-05-08 11:50:59.946008,0.284,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.30000000000000004,/GPU:0,0,71070,2022-05-08 11:54:11.929624,0.023,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,1,71070,2022-05-08 11:53:05.420804,0.015,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,2,71070,2022-05-08 11:12:01.268075,0.016,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,3,71070,2022-05-08 11:42:05.486765,0.015,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,4,71070,2022-05-08 11:32:57.630792,0.015,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,0,71070,2022-05-08 11:31:19.125709,0.286,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,1,71070,2022-05-08 11:37:29.826461,0.283,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,2,71070,2022-05-08 11:38:20.586176,0.285,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,3,71070,2022-05-08 11:22:01.524282,0.299,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,4,71070,2022-05-08 12:20:52.182468,0.29,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.35000000000000003,/GPU:0,0,71070,2022-05-08 11:38:20.885515,0.021,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,1,71070,2022-05-08 12:11:23.433769,0.019,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,2,71070,2022-05-08 11:09:30.182905,0.02,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,3,71070,2022-05-08 11:41:59.972885,0.019,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/GPU:0,4,71070,2022-05-08 11:22:01.504035,0.015,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,0,71070,2022-05-08 11:35:13.166930,0.27,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,1,71070,2022-05-08 11:18:21.500139,0.287,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
500,0.35000000000000003,/CPU:0,2,71070,2022-05-08 11:43:18.974159,0.29,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
